moment,data,model,diff,W_diag,wdiff2
"corr(Y_4,PH_4)",0.028937486301534178,-0.25393161907570744,0.28286910537724164,3.0,0.24004479233076312
"corr(Y_5,PH_5)",0.07993160013969375,-0.2025733175945556,0.28250491773424935,3.0,0.23942708563210496
"corr(Y_6,PH_6)",-0.3665991207351419,-0.3723642379411182,0.005765117205976333,3.0,9.970972919593309e-5
"corr(Y_7,PH_7)",0.1022857616220652,-0.13513531508327228,0.23742107670533746,3.0,0.1691063029917652
"corr(Y_8,PH_8)",-0.46083741921001237,-0.15112521414136065,-0.3097122050686517,3.0,0.2877649499054597
"corr(Y_9,PH_9)",-0.3997245410253328,0.27513229758659513,-0.6748568386119279,0.0,0.0
"corr(Y_10,PH_10)",-0.536777293059107,-0.13237184175860137,-0.40440545130050565,3.0,0.49063130712469694
"corr(Y_11,PH_11)",-0.7112661088012642,-0.18091559390208437,-0.5303505148991798,3.0,0.8438150059614755
"corr(Y_12,PH_12)",0.03903402880364255,-0.3824427442553475,0.42147677305899006,0.0,0.0
"corr(N,GDP)",0.6659530668873902,0.4647866839578189,0.20116638292957129,2.0,0.08093582724193382
"corr(N,GDP/N)",-0.3272611556634201,-0.15938452638717865,-0.16787662927624147,2.0,0.05636512531430523
std(omG) goods expenditure share,0.008376796119692217,0.009174730717041774,-0.0007979345973495571,14250.959609168965,0.009073580591270258
std(pi_g - pi_s),0.015400636759211923,0.021865645400894678,-0.006465008641682755,4216.2139868744325,0.17622229955079094
"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.07531364855314353,0.3004863950910834,3.0,0.270876220904504
autocorr(GDP),0.73082110396799,0.37297855104588246,0.3578425529221076,2.0,0.25610258536362274
autocorr(pi),0.0976867153195819,-0.06919892559073924,0.16688564091032115,2.0,0.055701634284097315
autocorr(Y_1),0.10687011887112151,0.4252344046603658,-0.31836428578924425,1.0,0.10135581846609559
autocorr(Y_2),0.361685373171192,0.432626494668676,-0.070941121497484,1.0,0.005032642719320786
autocorr(Y_3),0.5938307693600892,0.48252719643567277,0.1113035729244164,1.0,0.012388485345740878
autocorr(Y_4),0.20959379462458555,0.16699999123621814,0.04259380338836741,1.0,0.0018142320870868987
autocorr(Y_5),0.6305041342029053,0.22628151275782998,0.4042226214450753,1.0,0.16339592768792865
